Retail Branding,Marketing Name,Device,Model,Supported ROMs
Singer,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
Siragon,SIRAGON,lavender,4K SMART TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
Soneview,SONEVIEW,lavender,4K SMART TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
Soniq,4K Smart TV,pioneer,4K PA Smart TV,CrDroid
Starlight,venus,venus,venus,"AlphaDroid, CrDroid, DroidX-UI"
Strong,Android TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
Syinix,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
T-Mobile,REVVLRY,channel,REVVLRY,"AmyROM, Bliss ROMs, CrDroid"
T-Mobile,REVVLRY,channel,REVVLry,"AmyROM, Bliss ROMs, CrDroid"
TD SYSTEMS,Android TV,redwood,TD SYSTEMS Android TV,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
TECHLIFE,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
TEKLIO,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
Teesso,X2,X2,X2,CrDroid
Thomson,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
UD (EU),Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
UNITED TV,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
VOXelectronics,VOXELECTRONICS,lavender,4K SMART TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
Vava,X2,X2,X2,CrDroid
Vernee,X2,X2,X2,CrDroid
Vsmart,Bee 3,clover,Bee 3,"Carbon ROM, CrDroid"
Walton,4K Smart TV,pioneer,4K PA Smart TV,CrDroid
Wansa,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
Wileyfox,Swift 2,marmite,Swift 2,CrDroid
Wileyfox,Swift 2,marmite,Swift 2 Plus,CrDroid
Wileyfox,Swift 2,marmite,Swift 2 X,CrDroid
Wileyfox,Swift 2,marmite,Wileyfox Swift 2 Plus,CrDroid
Wileyfox,Swift2 Add-X,marmite,Swift 2 Plus,CrDroid
X-TEK,X2,X2,X2,CrDroid
Xiaomi,HM 1SC,armani,HM 1AC,Citrus CAF
Xiaomi,HM 1SC,armani,HM 1S,Citrus CAF
Xiaomi,HM 1SC,armani,HM 1SC,Citrus CAF
Xiaomi,HM 1SC,armani,HM 1SW,Citrus CAF
Xiaomi,MI 10,umi,Mi 10,CrDroid
Xiaomi,MI 5X,tiffany,MI 5X,CrDroid
Xiaomi,MI 6X,wayne,MI 6X,"AICP, AOSP Extended, Carbon ROM, CrDroid, Dot OS"
Xiaomi,MI 8,dipper,MI 8,"ConquerOS, CrDroid, Dot OS"
Xiaomi,MI 8 Lite,platina,MI 8 Lite,"ConquerOS, CrDroid"
Xiaomi,MI 8 Lite,platina,Platina,"ConquerOS, CrDroid"
Xiaomi,MI 8 SE,sirius,MI 8 SE,"Carbon ROM, CrDroid"
Xiaomi,MI 8 SE,sirius,sirius,"Carbon ROM, CrDroid"
Xiaomi,MI 9,cepheus,MI 9,"BananaDroid, Bootleggers ROM, CrDroid"
Xiaomi,MI 9 SE,grus,MI 9 SE,"AlphaDroid, Ancient OS"
Xiaomi,MI 9 SE,grus,Mi 9 SE,"AlphaDroid, Ancient OS"
Xiaomi,MI CC 9,pyxis,MI CC 9,"BananaDroid, Bliss ROMs, CrDroid"
Xiaomi,MI CC 9,pyxis,Mi 9 Lite,"BananaDroid, Bliss ROMs, CrDroid"
Xiaomi,MI CC 9,pyxis,Pyxis,"BananaDroid, Bliss ROMs, CrDroid"
Xiaomi,MI CC9 Pro,tucana,MI CC9 Pro,"Arrow OS, CrDroid"
Xiaomi,MI CC9 Pro,tucana,Mi Note 10,"Arrow OS, CrDroid"
Xiaomi,MI MAX 2,oxygen,MI MAX 2,CrDroid
Xiaomi,MI MIX 2S,polaris,Mi MIX 2S,CrDroid
Xiaomi,MI Note 3,jason,Mi Note 3,"CrDroid, Dot OS"
Xiaomi,MI PAD 4,clover,MI PAD 4,"Carbon ROM, CrDroid"
Xiaomi,MI6,sagit,MI 6,"AOSP Extended, CrDroid"
Xiaomi,MIX 2,chiron,MIX 2,"AICP, CrDroid, Dot OS"
Xiaomi,MIX 2,chiron,Mi MIX 2,"AICP, CrDroid, Dot OS"
Xiaomi,MIX 2S,polaris,MIX 2S,CrDroid
Xiaomi,MIX 2S,polaris,Mi MIX 2S,CrDroid
Xiaomi,MIX 3,perseus,MIX 3,"CrDroid, Dot OS"
Xiaomi,MIX 3,perseus,Mi MIX 3,"CrDroid, Dot OS"
Xiaomi,Mi 10,umi,Mi 10,CrDroid
Xiaomi,Mi 10,umi,Umi,CrDroid
Xiaomi,Mi 10S,thyme,M2102J2SC,"Arrow OS, CrDroid"
Xiaomi,Mi 10S,thyme,Thyme,"Arrow OS, CrDroid"
Xiaomi,Mi 10T,apollo,M2007J3SP,"Arrow OS, Bliss ROMs, Dot OS, DroidX-UI"
Xiaomi,Mi 10T,apollo,M2007J3SY,"Arrow OS, Bliss ROMs, Dot OS, DroidX-UI"
Xiaomi,Mi 10T Lite,gauguin,M2007J17G,"Ancient OS, Arrow OS, Dot OS"
Xiaomi,Mi 10T Pro,apollo,M2007J3SG,"Arrow OS, Bliss ROMs, Dot OS, DroidX-UI"
Xiaomi,Mi 10T pro,apollo,M2007J3SI,"Arrow OS, Bliss ROMs, Dot OS, DroidX-UI"
Xiaomi,Mi 11,venus,M2011K2C,"AlphaDroid, CrDroid, DroidX-UI"
Xiaomi,Mi 11,venus,M2011K2G,"AlphaDroid, CrDroid, DroidX-UI"
Xiaomi,Mi 11 LE,lisa,2107119DC,"Ancient OS, Arrow OS, CrDroid"
Xiaomi,Mi 11 Lite,courbet,M2101K9AG,"BananaDroid, CrDroid"
Xiaomi,Mi 11 Lite 5G,renoir,M2101K9C,"Derpfest, Dot OS"
Xiaomi,Mi 11 Lite 5G,renoir,M2101K9G,"Derpfest, Dot OS"
Xiaomi,Mi 11 Pro,mars,M2102K1AC,CrDroid
Xiaomi,Mi 11i,haydn,M2012K11G,"Ancient OS, Bliss ROMs, CrDroid"
Xiaomi,Mi 5,gemini,MI 5,"AOSP Extended, CrDroid"
Xiaomi,Mi 9 Lite,pyxis,Mi 9 Lite,"BananaDroid, Bliss ROMs, CrDroid"
Xiaomi,Mi 9 SE,grus,MI 9 SE,"AlphaDroid, Ancient OS"
Xiaomi,Mi 9 SE,grus,Mi 9 SE,"AlphaDroid, Ancient OS"
Xiaomi,Mi 9T,davinci,Mi 9T,"AICP, AlphaDroid, Arrow OS, Bliss ROMs, Bootleggers ROM, Cherish OS, CrDroid, Derpfest, Dot OS"
Xiaomi,Mi 9T Pro,raphael,Mi 9T Pro,"AICP, AlphaDroid, Ancient OS, Arrow OS, Black Iron Project, Bliss ROMs, Bootleggers ROM, CrDroid, Derpfest, Dot OS"
Xiaomi,Mi A2,jasmine_sprout,Mi A2,"AICP, AOSP Extended, Arrow OS, Carbon ROM, ConquerOS, CrDroid, Derpfest, Dot OS"
Xiaomi,Mi A3,laurel_sprout,Mi A3,"Bliss ROMs, CrDroid"
Xiaomi,Mi Note 10,tucana,Mi Note 10,"Arrow OS, CrDroid"
Xiaomi,Mi Note 10 Lite,toco,Mi Note 10 Lite,"CrDroid, Derpfest, Dot OS"
Xiaomi,Mi Note 10 Lite,toco,toco,"CrDroid, Derpfest, Dot OS"
Xiaomi,MiTV,river,MiTV-MZTU0,"AICP, AOSP Extended, CrDroid, Derpfest"
Xiaomi,POCO F1,beryllium,POCOPHONE F1,"AICP, Ancient OS, AOSP Extended, Arrow OS, BaikalOS, BananaDroid, Bliss ROMs, Carbon ROM, Cherish OS, ConquerOS, CrDroid, Derpfest, Dot OS"
Xiaomi,POCO M5s,rosemary,2207117BPG,CrDroid
Xiaomi,Redmi  Note  6  Pro,tulip,Redmi Note 6 Pro,"AOSP Extended, Arrow OS, Cesium OS, ConquerOS, CrDroid, Dot OS"
Xiaomi,Redmi  Note  7 Pro,violet,Redmi Note 7 Pro,"Ancient OS, Arrow OS, Bliss ROMs, CrDroid, Derpfest, Dot OS, DroidX-UI"
Xiaomi,Redmi  S2,ysl,Redmi S2,"Cesium OS, CrDroid, Dot OS"
Xiaomi,Redmi 3S,land,Redmi 3S,"AOSP Extended, Atomic Os, Carbon ROM, Cesium OS"
Xiaomi,Redmi 4A,rolex,Redmi 4A,"AOSP Extended, Dot OS"
Xiaomi,Redmi 4X,santoni,Redmi 4X,"AICP, AOSP Extended, Bliss ROMs, ConquerOS, CrDroid"
Xiaomi,Redmi 4X,santoni,santoni,"AICP, AOSP Extended, Bliss ROMs, ConquerOS, CrDroid"
Xiaomi,Redmi 5,rosy,Redmi 5,"AOSP Extended, BananaDroid, ConquerOS, CrDroid, Dot OS"
Xiaomi,Redmi 5 Plus,vince,Redmi 5 Plus,"AICP, AOSP Extended, BananaDroid, BeastROMs, Bliss ROMs, CrDroid, Dot OS"
Xiaomi,Redmi 5 Plus,vince,Redmi Note 5,"AICP, AOSP Extended, BananaDroid, BeastROMs, Bliss ROMs, CrDroid, Dot OS"
Xiaomi,Redmi 5A,riva,Redmi 5A,"AOSP Extended, ConquerOS"
Xiaomi,Redmi 6Pro,sakura,Redmi 6 Pro,"BananaDroid, Cesium OS, CrDroid, Dot OS, DroidX-UI"
Xiaomi,Redmi 7A,pine,Redmi 7A,"ConquerOS, CrDroid, Dot OS"
Xiaomi,Redmi 8,olive,Redmi 8,"CrDroid, Dot OS"
Xiaomi,Redmi Note 3,kenzo,Redmi Note 3,"AOSP Extended, Atomic Os, Bliss ROMs, Carbon ROM"
Xiaomi,Redmi Note 4,mido,Redmi Note 4,"AIM ROM, AOSP Extended, Atomic Os, Carbon ROM, ConquerOS, CrDroid, Dot OS, DroidX-UI"
Xiaomi,Redmi Note 4,mido,Redmi Note 4X,"AIM ROM, AOSP Extended, Atomic Os, Carbon ROM, ConquerOS, CrDroid, Dot OS, DroidX-UI"
Xiaomi,Redmi Note 5,whyred,Redmi Note 5,"AICP, AOSP Extended, Arrow OS, BananaDroid, BeastROMs, Bliss ROMs, Carbon ROM, Cherish OS, ConquerOS, CrDroid, Derpfest, Dot OS, DroidX-UI"
Xiaomi,Redmi Note 5 Pro,whyred,Redmi Note 5,"AICP, AOSP Extended, Arrow OS, BananaDroid, BeastROMs, Bliss ROMs, Carbon ROM, Cherish OS, ConquerOS, CrDroid, Derpfest, Dot OS, DroidX-UI"
Xiaomi,Redmi Note 5 Pro,whyred,Redmi Note 5 Pro,"AICP, AOSP Extended, Arrow OS, BananaDroid, BeastROMs, Bliss ROMs, Carbon ROM, Cherish OS, ConquerOS, CrDroid, Derpfest, Dot OS, DroidX-UI"
Xiaomi,Redmi Note 8,ginkgo,Redmi Note 8,"AICP, AlphaDroid, Ancient OS, Arrow OS, Bliss ROMs, Carbon ROM, Cesium OS, Cherish OS, ConquerOS, CrDroid, Dot OS"
Xiaomi,Redmi S2,ysl,Redmi S2,"Cesium OS, CrDroid, Dot OS"
Xiaomi,Xiaomi 11 Lite 5G NE,lisa,2109119DG,"Ancient OS, Arrow OS, CrDroid"
Xiaomi,Xiaomi 11 Lite NE,lisa,2109119DI,"Ancient OS, Arrow OS, CrDroid"
Xiaomi,Xiaomi 11T,amber,21081111RG,CrDroid
Xiaomi,Xiaomi 11T Pro,vili,2107113SG,"AlphaDroid, BananaDroid, CrDroid, Derpfest, DroidX-UI"
Xiaomi,Xiaomi 11T Pro,vili,2107113SI,"AlphaDroid, BananaDroid, CrDroid, Derpfest, DroidX-UI"
Xiaomi,Xiaomi 11T Pro,vili,2107113SR,"AlphaDroid, BananaDroid, CrDroid, Derpfest, DroidX-UI"
Xiaomi,Xiaomi 12 Lite,taoyao,2203129G,Cherish OS
Xiaomi,Xiaomi 12 Pro,zeus,2201122C,"Ancient OS, CrDroid"
Xiaomi,Xiaomi 12 Pro,zeus,2201122G,"Ancient OS, CrDroid"
Xiaomi,Xiaomi 12S,mayfly,2206123SC,CrDroid
Xiaomi,Xiaomi 14 Ultra,aurora,24030PN60G,CrDroid
Xiaomi,Xiaomi 14 Ultra,aurora,24031PN0DC,CrDroid
Xiaomi,Xiaomi 14 Ultra,aurora,Xiaomi for arm64,CrDroid
Xiaomi,Xiaomi Pad 5,nabu,21051182C,"Arrow OS, CrDroid, Derpfest"
Xiaomi,Xiaomi Pad 5,nabu,21051182G,"Arrow OS, CrDroid, Derpfest"
Xiaomi,Xiaomi Pad 5 Pro,elish,M2105K81AC,Arrow OS
Xiaomi,Xiaomi Pad 6,pipa,23043RP34C,CrDroid
Xiaomi,Xiaomi Pad 6,pipa,23043RP34G,CrDroid
Xiaomi,Xiaomi Pad 6,pipa,23043RP34I,CrDroid
Xiaomi,Xiaomi Watch 2 Pro,axolotl,Xiaomi Watch 2 Pro,CalyxOS
Xiaomi,Xiaomi pad 6,pipa,23043RP34G,CrDroid
ZTE,AXON WATCH,rolex,AXON WATCH,"AOSP Extended, Dot OS"
ZTE,AXON WATCH,rolex,ZTE W1010,"AOSP Extended, Dot OS"
ZTE,B2017G,tulip,ZTE B2017G,"AOSP Extended, Arrow OS, Cesium OS, ConquerOS, CrDroid, Dot OS"
ZTE,N9101,apollo,N9101,"Arrow OS, Bliss ROMs, Dot OS, DroidX-UI"
ZTE,Sapphire 3G,sapphire,N818S,CrDroid
ZTE,Z717VL,lavender,Z717VL,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
ZTE,Z818L,sunny,Z818L,AlphaDroid
ZTE,Z833,camellia,Z833,"Cherish OS, CrDroid"
ZTE,Z839,sweet,Z839,"AlphaDroid, Ancient OS, Arrow OS, BananaDroid, Bliss ROMs, Carbon ROM, Cherish OS, ConquerOS, CrDroid, Dot OS, DroidX-UI"
ZTE,Z839V,sweet,Z839V,"AlphaDroid, Ancient OS, Arrow OS, BananaDroid, Bliss ROMs, Carbon ROM, Cherish OS, ConquerOS, CrDroid, Dot OS, DroidX-UI"
Zuk,Z2,z2_plus,ZUK Z2131,"AOSP Extended, Carbon ROM, CrDroid, Dot OS"
Zuk,Z2 Pro,z2_row,ZUK Z2121,AOSP Extended
biolux,Android TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
homez,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
iMuz,4K Smart TV,pioneer,4K SA Smart TV,CrDroid
imiia,4K Smart TV,pioneer,4K PA Smart TV,CrDroid
realme,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
